filename,text
a01-000u-00-00.png,A
a01-000u-00-01.png,MOVE
a01-000u-00-02.png,to
a01-000u-00-03.png,stop
a01-000u-00-04.png,Mr.
a01-000u-00-05.png,Gaitskell
a01-000u-00-06.png,from
a01-000u-01-00.png,nominating
a01-000u-01-01.png,any
a01-000u-01-02.png,more
a01-000u-01-03.png,Labour
a01-000u-01-04.png,life
a01-000u-01-05.png,Peers
a01-000u-02-00.png,is
a01-000u-02-01.png,to
a01-000u-02-02.png,be
a01-000u-02-03.png,made
a01-000u-02-04.png,at
a01-000u-02-05.png,a
a01-000u-02-06.png,meeting
a01-000u-03-00.png,of
a01-000u-03-01.png,Labour
a01-000u-03-02.png,M.P.s
a01-000u-03-03.png,tomorrow
a01-000u-03-04.png,.
